score;completeness;rescuebot_action;rescuebot_location;emm_action;emm_location;world_nr;tick_nr
0;0.0;MoveWest;(21, 6);;(21, 12);1;50
0;0.0;MoveWest;(21, 6);;(21, 12);1;51
0;0.0;MoveWest;(21, 6);;(21, 12);1;52
0;0.0;MoveWest;(21, 6);;(21, 12);1;53
0;0.0;MoveWest;(20, 6);;(21, 12);1;54
0;0.0;MoveWest;(20, 6);;(21, 12);1;55
0;0.0;MoveWest;(20, 6);;(21, 12);1;56
0;0.0;MoveWest;(20, 6);;(21, 12);1;57
0;0.0;MoveWest;(20, 6);;(21, 12);1;58
0;0.0;MoveWest;(20, 6);;(21, 12);1;59
0;0.0;MoveWest;(20, 6);;(21, 12);1;60
0;0.0;MoveWest;(20, 6);;(21, 12);1;61
0;0.0;MoveWest;(20, 6);;(21, 12);1;62
0;0.0;MoveWest;(19, 6);;(21, 12);1;63
0;0.0;MoveWest;(19, 6);;(21, 12);1;64
0;0.0;MoveWest;(19, 6);;(21, 12);1;65
0;0.0;MoveWest;(19, 6);;(21, 12);1;66
0;0.0;MoveWest;(19, 6);;(21, 12);1;67
0;0.0;MoveWest;(19, 6);;(21, 12);1;68
0;0.0;MoveWest;(19, 6);;(21, 12);1;69
0;0.0;MoveWest;(19, 6);;(21, 12);1;70
0;0.0;MoveWest;(19, 6);;(21, 12);1;71
0;0.0;MoveWest;(19, 6);;(21, 12);1;72
0;0.0;MoveWest;(19, 6);;(21, 12);1;73
0;0.0;MoveWest;(19, 6);;(21, 12);1;74
0;0.0;MoveWest;(19, 6);;(21, 12);1;75
0;0.0;MoveWest;(19, 6);;(21, 12);1;76
0;0.0;MoveWest;(18, 6);;(21, 12);1;77
0;0.0;MoveWest;(18, 6);;(21, 12);1;78
0;0.0;MoveWest;(18, 6);;(21, 12);1;79
0;0.0;MoveWest;(18, 6);;(21, 12);1;80
0;0.0;MoveWest;(18, 6);;(21, 12);1;81
0;0.0;MoveWest;(18, 6);;(21, 12);1;82
0;0.0;MoveWest;(18, 6);;(21, 12);1;83
0;0.0;MoveWest;(18, 6);MoveNorth;(21, 11);1;84
0;0.0;MoveWest;(18, 6);;(21, 11);1;85
0;0.0;MoveWest;(17, 6);MoveNorth;(21, 10);1;86
0;0.0;MoveNorthWest;(17, 6);;(21, 10);1;87
0;0.0;MoveNorthWest;(17, 6);MoveNorth;(21, 9);1;88
0;0.0;MoveNorthWest;(17, 6);MoveNorth;(21, 8);1;89
0;0.0;MoveNorthWest;(17, 6);;(21, 8);1;90
0;0.0;MoveNorthWest;(17, 6);;(21, 8);1;91
0;0.0;MoveNorthWest;(17, 6);;(21, 8);1;92
0;0.0;MoveNorthWest;(17, 6);;(21, 8);1;93
0;0.0;MoveNorthWest;(17, 6);;(21, 8);1;94
0;0.0;MoveNorthWest;(16, 5);;(21, 8);1;95
0;0.0;MoveWest;(16, 5);;(21, 8);1;96
0;0.0;MoveWest;(16, 5);;(21, 8);1;97
0;0.0;MoveWest;(16, 5);;(21, 8);1;98
0;0.0;MoveWest;(16, 5);;(21, 8);1;99
0;0.0;MoveWest;(16, 5);;(21, 8);1;100
0;0.0;MoveWest;(16, 5);;(21, 8);1;101
0;0.0;MoveWest;(16, 5);;(21, 8);1;102
0;0.0;MoveWest;(16, 5);MoveWest;(20, 8);1;103
0;0.0;MoveWest;(15, 5);;(20, 8);1;104
0;0.0;;(15, 5);;(20, 8);1;105
0;0.0;;(15, 5);;(20, 8);1;106
0;0.0;;(15, 5);MoveWest;(19, 8);1;107
0;0.0;;(15, 5);;(19, 8);1;108
0;0.0;;(15, 5);MoveWest;(19, 8);1;109
0;0.0;;(15, 5);MoveWest;(19, 8);1;110
0;0.0;;(15, 5);MoveWest;(19, 8);1;111
0;0.0;;(15, 5);MoveWest;(19, 8);1;112
0;0.0;;(15, 5);MoveWest;(19, 8);1;113
0;0.0;;(15, 5);MoveWest;(18, 8);1;114
0;0.0;;(15, 5);MoveWest;(18, 8);1;115
0;0.0;;(15, 5);;(18, 8);1;116
0;0.0;;(15, 5);;(18, 8);1;117
0;0.0;;(15, 5);;(18, 8);1;118
0;0.0;;(15, 5);;(18, 8);1;119
0;0.0;;(15, 5);;(18, 8);1;120
0;0.0;;(15, 5);;(18, 8);1;121
0;0.0;;(15, 5);;(18, 8);1;122
0;0.0;;(15, 5);;(18, 8);1;123
0;0.0;;(15, 5);;(18, 8);1;124
0;0.0;;(15, 5);;(18, 8);1;125
0;0.0;;(15, 5);;(18, 8);1;126
0;0.0;;(15, 5);;(18, 8);1;127
0;0.0;;(15, 5);;(18, 8);1;128
0;0.0;;(15, 5);;(18, 8);1;129
0;0.0;;(15, 5);;(18, 8);1;130
0;0.0;;(15, 5);;(18, 8);1;131
0;0.0;;(15, 5);;(18, 8);1;132
0;0.0;;(15, 5);;(18, 8);1;133
